relation;columns;recall;rr;fitness
gender;gender_RIGHT;1.0;0.9999733486134617;0.9999866741291543
nationality;nationality_RIGHT;0.9996367598982928;0.9975214210519302;0.9985779702187197
profession;profession_RIGHT;1.0;0.9939368095625175;0.9969591862648782
place_of_death;place_of_death_RIGHT;0.9551710578057413;0.9485361725943793;0.9518420531013655
place_of_birth;place_of_birth_RIGHT;0.9528080290412129;0.9367962368242208;0.9447342939955828
location;location_RIGHT;0.9650273224043716;0.9689777860693203;0.9669985195620927
institution;institution_RIGHT;0.9995567375886525;0.9903255466865664;0.9949197300957655
cause_of_death;cause_of_death_RIGHT;1.0;0.9977346321442373;0.9988660316443875
religion;religion_RIGHT;1.0;0.9985741508201964;0.9992865667860167
parents;parents_RIGHT;0.5662042875157629;0.9603160854443452;0.7123849698704953
children;children_RIGHT;0.40217391304347827;0.952680463201098;0.5655858466910166
ethnicity;ethnicity_RIGHT;1.0;0.9972016044134696;0.9985988417091463
spouse;spouse_RIGHT;0.13059701492537312;0.9592900070626175;0.2298961430728889
dummy;dummy;0;0;0
