relation;columns;recall;rr;fitness
hypernym;hypernym_RIGHT;0.8563623947188709;0.7880223725667391;0.8207722906327417
derivationally_related_form;derivationally_related_form_RIGHT;0.6537986955755333;0.6462154702879613;0.6499849657474612
member_holonym;member_holonym_RIGHT;0.6871463217461601;0.9331509659770901;0.7914735879191989
has_part;has_part_RIGHT;0.26399155227032733;0.9169577217106709;0.40995679942228874
synset_domain_topic_of;synset_domain_topic_of_RIGHT;0.9531531531531532;0.9929902547444007;0.9726639758603043
instance_hypernym;instance_hypernym_RIGHT;0.9007352941176471;0.9909874703856582;0.9437084623117029
also_see;also_see_RIGHT;0.570281124497992;0.9829274845516938;0.7217897041313543
verb_group;verb_group_RIGHT;0.19730941704035873;0.9797034902181081;0.3284666180553462
member_of_domain_region;member_of_domain_region_RIGHT;0.10638297872340426;0.9822924553647754;0.1919749341395854
member_of_domain_usage;member_of_domain_usage_RIGHT;0.1015625;0.9877634760520724;0.18418679117543246
similar_to;similar_to_RIGHT;0.09090909090909091;0.998412427032704;0.16664458490708337
